crate	version	layer	git_repo	git_head	worktree_state	source_files	source_loc	inbound_rsomics_dependents	inbound_target_family_count	inbound_target_families	has_tests	has_compat	has_benches	has_origin	upstream_families	upstream_mentions	area_provisional	target_family_provisional	target_kind_provisional	routing_confidence	suggested_action_provisional	manifest_error
rsomics-combine-pvalues	0.1.2	B	True	1435acc446415b562e8386589fdd39c5b998a7ab	clean	9	1535	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-common	0.7.0	A	True	9f11f37c0fa48a24cae12549769f3395d9d0f19f	clean	6	804	559	49	rsomics-annotation|rsomics-bam|rsomics-bamio|rsomics-bbi|rsomics-bed|rsomics-call|rsomics-cnv|rsomics-composition|rsomics-count|rsomics-coverage-core|rsomics-csvio|rsomics-de-volcano|rsomics-deseq|rsomics-distance|rsomics-ecology|rsomics-edger|rsomics-fastq-preprocess|rsomics-fastq-qc|rsomics-fqgz|rsomics-graph|rsomics-image|rsomics-index|rsomics-intervals|rsomics-liftover|rsomics-limma|rsomics-metagenomics|rsomics-methyl|rsomics-minimap2|rsomics-ml|rsomics-model|rsomics-pdb-core|rsomics-peak|rsomics-phylo|rsomics-pileup|rsomics-plink|rsomics-popgen|rsomics-rnaseq-qc|rsomics-sample-sheet|rsomics-sc|rsomics-seq|rsomics-seqio|rsomics-signal|rsomics-sketch|rsomics-stats|rsomics-structure|rsomics-table|rsomics-taxonomy|rsomics-vcf|rsomics-vcf-valfmt	True	False	False	False			foundation	rsomics-common	foundation	high	keep-core-candidate	-
rsomics-compute-gc-bias	0.1.2	B	True	356ecb3d6fcfd0345d2b53f4f91574bdd4ddb24a	clean	4	688	0	0		True	True	True	True	deeptools	deeptools	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-compute-matrix	0.1.2	B	True	830d44d98b991dec61f56bf2682851aa1915ec97	clean	9	1283	0	0		True	True	True	True	deeptools	deeptools	epigenomic-signal	rsomics-signal	product	high	merge-into:rsomics-signal	-
rsomics-condensation	0.1.2	B	True	cc74c20516891ab2b24664b8241ce9bce1a81ab4	dirty	3	391	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-connectivity	0.1.1	B	True	70d7da0734fd450e8a58ec573b5140008fad532e	dirty	5	489	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-consensus	0.1.1	B	True	43395d4feb6634e2e215aae3dbf6291edd675ea0	clean	3	152	0	0		True	True	True	False	emboss	emboss	sequence-utilities	rsomics-seq	product	high	merge-into:rsomics-seq	-
rsomics-constraint	0.1.2	B	True	74a7e83a24c7e1b840abdc34b10fda5c0242af80	clean	2	196	0	0		True	True	False	True	networkx	scipy|networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
rsomics-cophenet	0.1.2	B	True	ce67b832eeec0306e381cb8fac4de342e72ed5dc	clean	3	479	0	0		True	True	True	True	scipy	scipy	statistics	rsomics-stats	capability-pool	high	merge-or-core-review	-
rsomics-core-number	0.1.1	B	True	7b1fb9081c929d44e1718e109f7ac7cf39b31a33	clean	2	267	0	0		True	True	True	True	networkx	networkx	graph-algorithms	rsomics-graph	capability-pool	high	merge-or-core-review	-
